Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GOBP_SERTOLI_CELL_DEVELOPMENT,0.9959437898482475,2.4806792508653275,0.07692307692307693,1.0,0.75,1/18,0.41%,SOX8
prerank,GOBP_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CONTRACTION,0.9911602578084273,2.4235224757913323,0.21428571428571427,1.0,0.93,3/29,0.90%,KIT;GPER1;F2R
prerank,GOBP_POSITIVE_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION,0.9999915646946813,2.4147111170708477,0.0,0.8672237996902428,0.96,1/18,0.01%,SPRR5
prerank,GOBP_AMINE_CATABOLIC_PROCESS,0.9937381637384228,2.4032994196607005,0.13725490196078433,0.8192114093959731,0.98,1/17,0.63%,MAOA
prerank,GOBP_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY,0.9922547023739281,2.389412447314402,0.16363636363636364,0.7886035105833765,0.99,1/16,0.78%,VSIG4
prerank,GOBP_DENDRITIC_CELL_CHEMOTAXIS,0.9987514326258702,2.3617159561144847,0.0425531914893617,0.8162106350025813,0.99,1/25,0.13%,CXCR2
prerank,GOBP_SERTOLI_CELL_DIFFERENTIATION,0.9959388395385278,2.355838226673892,0.08064516129032258,0.7459067777859725,0.99,1/25,0.41%,SOX8
prerank,GOBP_POSITIVE_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION,0.9979661525031555,2.348161085824643,0.02,0.7201858544140424,1.0,1/19,0.21%,MFSD2B
prerank,GOBP_FEMALE_GENITALIA_DEVELOPMENT,0.9938513596333124,2.3441370019094636,0.16923076923076924,0.687177336086732,1.0,1/19,0.62%,TYRO3
prerank,GOBP_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE,-0.5872524743333808,-2.336457279270435,0.0,0.03656981868546966,0.03,13/29,13.20%,ATAD5;BCL2;BCL2L1;SFRP2;CLU;CDKN2D;SIRT1;CD44;CD74;DDIAS;TAF9B;TRIAP1;ZNF385A
prerank,GOBP_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS,0.9920230718406212,2.336152998067926,0.19642857142857142,0.6715733092410945,1.0,1/21,0.80%,ANTKMT
prerank,GOBP_ONE_CARBON_COMPOUND_TRANSPORT,0.9916005569058468,2.309381326988522,0.1746031746031746,0.8102090862157976,1.0,1/22,0.84%,HBA2
prerank,GOBP_REGULATION_OF_ATP_BIOSYNTHETIC_PROCESS,0.9920319635039694,2.304480427509749,0.19230769230769232,0.7817017294785752,1.0,1/19,0.80%,ANTKMT
