Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_MYC_TARGETS_V1,-0.7833593859283946,-2.3823639085831645,0.0,0.0,0.0,64/161,10.77%,MCM4;TYMS;DEK;CDC20;NHP2;ILF2;TXNL4A;USP1;MCM2;CANX;HDGF;RFC4;PRDX4;CBX3;SRPK1;MAD2L1;NDUFAB1;PSMB2;ERH;GLO1;CYC1;CCT3;TFDP1;CCNA2;PPM1G;SSBP1;XRCC6;SNRPG;HPRT1;VDAC3;PSMA7;CTPS1;TOMM70;PSMD14;PSMA4;EIF2S1;SMARCC1;HDAC2;TCP1;NME1;EIF3B;GSPT1;SET;CLNS1A;LSM2;DDX21;PCNA;VDAC1;AIMP2;SERBP1;VBP1;XPOT;HSP90AB1;CDC45;NOP16;RNPS1;ABCE1;MCM6;UBE2E1;RAD23B;CCT4;KPNA2;PSMD1;DDX18
prerank,HALLMARK_E2F_TARGETS,-0.7533519451539601,-2.3316706294972014,0.0,0.0,0.0,93/190,12.00%,CDKN2A;CDK1;MCM4;RAD21;DEK;TOP2A;CDC20;CKS1B;CCNB2;DLGAP5;USP1;HMGA1;MYBL2;PRKDC;TRIP13;CHEK1;MCM2;TK1;SMC4;UBE2T;CDKN3;MKI67;PRDX4;PTTG1;MAD2L1;MELK;EZH2;DSCC1;LMNB1;ANP32E;KIF2C;MSH2;PLK1;KIF4A;RBBP7;ORC6;CDC25A;MCM3;SPC25;XRCC6;CCNE1;AURKB;SLBP;MTHFD2;HMGB3;CTPS1;NUP153;GINS1;EIF2S1;NME1;DCTPP1;CKS2;RFC2;SSRP1;AURKA;GSPT1;ATAD2;DIAPH3;BIRC5;PCNA;GINS4;CENPM;PRIM2;TCF19;NUP205;POP7;SNRPB;HMMR;BUB1B;JPT1;MCM6;CDCA3;DEPDC1;SPC24;TACC3;CDKN2C;STMN1;KPNA2;TUBG1;CIT;WEE1;CENPE;CSE1L;RAD51AP1;MMS22L;KIF22;TUBB;HMGB2;TP53;DONSON;XPO1;PHF5A;ASF1B
prerank,HALLMARK_G2M_CHECKPOINT,-0.6880710042224636,-2.0655533085626265,0.0,0.0,0.0,89/187,12.46%,CDK1;SQLE;RAD21;TOP2A;CDC20;CKS1B;EFNA5;CCNB2;PRC1;HMGA1;TPX2;MYBL2;CHEK1;MCM2;NUSAP1;UBE2C;SMC4;CDKN3;MKI67;UCK2;BUB1;PTTG1;RAD54L;MAD2L1;STIL;EZH2;KIF23;TTK;E2F3;CENPF;LMNB1;DKC1;KIF2C;EXO1;PLK1;KIF4A;ORC6;TFDP1;NDC80;CDC25A;CENPA;CCNA2;MCM3;AURKB;AMD1;HMGB3;NEK2;KIF15;SMARCC1;CDC6;CKS2;KIF5B;AURKA;GSPT1;BIRC5;NSD2;KIF11;SLC7A5;KNL1;PRIM2;CCND1;CDC45;INCENP;HMMR;FBXO5;JPT1;E2F1;MCM6;CCNF;RAD23B;TACC3;CDKN2C;STMN1;PBK;HOXC10;KPNA2;TROAP;CENPE;HSPA8;CDC7;TRAIP;SLC12A2;DBF4;KIF22;XPO1;SMC2;MAP3K20;CUL4A;LBR
prerank,HALLMARK_ALLOGRAFT_REJECTION,0.7535340325992788,1.9373292992537696,0.0,0.0,0.0,64/175,8.81%,CCL19;ZAP70;CD96;CD28;CD2;GZMA;CCND2;STAT4;PRKCB;CD3E;CD3D;HCLS1;LCK;MAP4K1;TIMP1;CXCL13;STAB1;IL2RG;FYB1;TRAT1;GZMB;CD4;IL16;CD8A;CD7;CD79A;CD40;IRF8;CD40LG;GPR65;NCF4;PRF1;IL18RAP;CCL5;WAS;IL4R;ITGAL;FAS;CCR2;ETS1;IL6;LCP2;SIT1;ACHE;CD1D;PTPRC;CFP;CXCL9;LTB;EREG;PSMB10;CD247;IL12RB1;CCR5;THY1;CD74;FGR;KLRD1;C2;CTSS;TGFB1;SPI1;F2R;IKBKB
prerank,HALLMARK_GLYCOLYSIS,-0.6171423003505163,-1.8432692458748745,0.0,0.0,0.0,64/191,11.99%,DSC2;CDK1;MIF;CLDN3;VLDLR;COPB2;PLOD2;ELF3;EGLN3;SDC1;AGRN;EFNA3;VEGFA;KDELR3;P4HA1;B4GALT2;ERO1A;GPC4;PKM;PLOD1;ME1;QSOX1;FAM162A;NT5E;CENPA;PFKP;PYGL;SOX9;ARPP19;GFPT1;SLC16A3;GPR87;TALDO1;EXT1;MET;AURKA;MDH1;B3GAT1;B4GALT1;ENO1;PAM;DDIT4;KIF20A;MDH2;NSDHL;B4GALT4;STC2;HMMR;PGAM1;PPFIA4;P4HA2;GPC1;DEPDC1;AKR1A1;CYB5A;STMN1;LHPP;SDC2;SLC37A4;B3GNT3;ADORA2B;TGFBI;B4GALT7;G6PD
prerank,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.6193416792293029,-1.8238920276854387,0.0,0.0,0.0,75/185,14.12%,ATP1B1;MAOB;COX6C;UQCRH;ATP6V1C1;UQCRC1;NDUFA4;NDUFAB1;UQCR10;CYC1;ATP5MF;MGST3;ATP6V0E1;ATP6V0B;ATP5F1C;ATP6V0C;VDAC3;PHYH;NDUFB2;TOMM70;NDUFA6;NDUFC2;ATP6V1F;CYCS;ECI1;LRPPRC;PDHA1;NDUFB4;NDUFS8;MDH1;VDAC1;NDUFS6;NDUFB6;COX8A;ATP5F1E;ATP6AP1;HCCS;NDUFB5;COX7A2L;MTX2;ATP6V1G1;POR;MDH2;POLR2F;NDUFA8;NDUFA5;UQCRC2;PDHX;ATP5MC3;VDAC2;DLAT;CYB5A;COX5B;OPA1;COX7B;NDUFB1;COX7A2;SUPV3L1;HSD17B10;ATP6V1H;TOMM22;ATP6V1D;ATP5F1B;UQCRQ;IDH2;NDUFB3;OAT;GPI;ATP5MG;SURF1;CYB5R3;NDUFV1;NDUFA1;IMMT;AFG3L2
prerank,HALLMARK_MTORC1_SIGNALING,-0.5703745996502865,-1.7774156521467406,0.0,0.0,0.0,72/186,12.05%,DHCR24;SLC2A1;SQLE;MCM4;VLDLR;PRDX1;PLOD2;CD9;FADS2;SCD;DHCR7;EGLN3;MCM2;CANX;PIK3R3;P4HA1;ERO1A;BUB1;SSR1;ME1;RPN1;PSMB5;GMPS;PLK1;PGM1;PSMG1;CDC25A;PSMC2;TES;CYP51A1;TMEM97;MTHFD2;HPRT1;PNO1;PSMD14;SERP1;PSMA4;SORD;RIT1;SQSTM1;AURKA;PSMA3;SLC7A5;ENO1;PSAT1;DDIT4;UCHL5;NUP205;ACSL3;IDI1;ACTR3;PSPH;ABCF2;ARPC5L;SDF2L1;TUBA4A;CCNF;DHFR;EEF1E1;ADIPOR2;FADS1;TUBG1;BHLHE40;HMGCR;CALR;HSP90B1;SLC37A4;RAB1A;ATP6V1D;PHGDH;G6PD;SEC11A
prerank,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.6591056137228488,1.6745652829027204,0.0,0.003630445668502754,0.01,86/195,15.41%,IL7R;GEM;EGR1;FOSB;BTG2;KLF2;NR4A1;SERPINE1;ZFP36;EGR3;GFPT2;PTGS2;NR4A2;TRAF1;NR4A3;SOCS3;CD69;CFLAR;TNFAIP6;JUNB;AREG;ATP2B1;DUSP5;KDM6B;NFKB2;DUSP1;IER2;BIRC3;CXCL2;CCL5;FOS;GPR183;BCL6;G0S2;ABCA1;RHOB;NFIL3;EGR2;IL6;SLC2A3;JAG1;PLEK;KLF9;CCN1;SMAD3;PER1;DUSP4;PTPRE;KYNU;IRF1;PFKFB3;SGK1;BTG1;CDKN1A;PHLDA1;MSC;CD80;TNFAIP3;SPHK1;BCL3;CCL2;CD44;MXD1;MCL1;GADD45B;NFKB1;ETS2;HBEGF;KLF6;DRAM1;TNFAIP8;SPSB1;DENND5A;FOSL2;ID2;F2RL1;CCL4;ATF3;PDE4B;NINJ1;PLPP3;TNIP1;GADD45A;RELB;CLCF1;TRIP10
prerank,HALLMARK_KRAS_SIGNALING_UP,0.6338567593544712,1.6297865413116874,0.0,0.004840594224670338,0.02,69/195,11.00%,IKZF1;IL7R;CD37;F13A1;PECAM1;DOCK2;APOD;CCND2;GFPT2;PIGR;PTGS2;CXCR4;LCP1;IL10RA;MAP4K1;TRAF1;CPE;CFH;EMP1;IL2RG;SPARCL1;ABCB1;ADGRA2;SPON1;ENG;TMEM176A;TMEM176B;PRRX1;AKAP12;IRF8;TNFRSF1B;BIRC3;SATB1;SPRY2;SCN1B;LY96;GNG11;TSPAN7;G0S2;SDCCAG8;ALDH1A2;TFPI;RELN;MAP3K1;ETS1;DUSP6;PLVAP;EREG;CBR4;MTMR10;FLT4;CMKLR1;CTSS;ADGRL4;PEG3;PLAT;GUCY1A1;GYPC;HSD11B1;CROT;ANO1;PRDM1;DNMBP;TNFAIP3;ALDH1A3;MAFB;RGS16;ITGBL1;NAP1L2
prerank,HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.615745550142533,-1.6240365461641393,0.0,0.014910536779324057,0.05,26/71,9.46%,MAL2;SQLE;CD9;FADS2;SCD;DHCR7;S100A11;LGALS3;ACAT2;FDPS;PLSCR1;CYP51A1;TMEM97;FDFT1;SEMA3B;TNFRSF12A;GLDC;FASN;CHKA;CXCL16;PMVK;NSDHL;IDI1;CTNNB1;PCYT2;ACTG1
